ststajs	sestais
GabbalS	Gabals
Latweeschu	Latviešu
Ahrstes	Ārstes
no	no
Kwehlainahm	Kvēlainām
Wainahm	Vainām
un	un
Tuhkumeem	Tūkumiem
jeb	jeb
Puņņeem	Puņiem
Ņrms	Pirms
kâ	kā
es	es
mannus	manus
zittus	citus
Mahklus	Māklus
no	no
Ahrstesthanaķ	Ārstēšanas
un	un
Jssichļoşchanas	Izzāļošanas
Zillaşchu	Cilāšu
buhs	būs
man	man
jamahza	jāmāca
:	:
Kà	Kā
pel	pie
kvehlainahm	kvēlainām
Wainahm	Vainām
un	un
Tuhkumeem	Tūkumiem
jaturrahs	jāturas
.	.
tas	tas
Lanvis	Latvis
fauz	sauc
Sohbu	Sodu
kwehlu	kvēlu
,	,
kad	kad
Sohbi	Zobi
tik	tik
nikni	nikni
fuhrstj	sūrst
	,
M	kā
arridsan	arīdzan
kwehlains	kvēlains
Tuhkums	Tūkums
Waigâ	Vaigā
mettahs	metas
.	.
Tahdc	Tāda
Kwehla	Kvēla
un	un
Tubkums	Tūkums
warr	var
arri	arī
ZitMr	Citur
pee	pie
Meefas	Miesas
mestees	mesties
.	.
Katrs	Katrs
tahds	tāds
Tuhkums	Tūkums
jeb	jeb
noflahb	noslāb
;	;
jeb	jeb
eekwehlahe	iekvēlas
no	no
appakşcha	apakša
,	,
tad	tad
pahrwebrşchahs	pārvēršas
tas	tas
Tuklajs	Tuklais
Punntt	Punis
eekşch	iekš
Pueschmem	Pūžņiem
un	un
tà	tā
mettahs	metas
wişşadt	visādi
Augoni	Augoņi
.	.
No	No
mhs	tās
Noflahbeşchanas	Noslābēšanas
eşşam	esam
mehs	mēs
jaw	jau
preeķfcha	
jâs	
	priekšējās
Lappâs	Lapās
plafch	plaši
şatulkojuşchees	satulkojušies
:	:
prohti	proti
to	to
Ettiķi	Etiķi
labbr	labu
Noşiahbinataju	Noslābinātāju
eşşam	esam
.	.
Ir	Ir
Brandawihnu	Brandavīnu
ar	ar
Seepebni	Ziepēm
Pehz	Pēc
to	to
warr	var
bruhķeht	brūķēt
.	.
Tuhkums	Tūkums
no	no
ta	tā
daschreis	dažreiz
noflahb	noslāb
.	.
Bet	Bet
kur	kur
Tuhkums	Tūkums
usstahjahs	uzstājas
un	un
par	par
Augoni	Augoni
jebPim	jeb
ni	Puni
pahrwehrtahs	pārvērtās
,	,
tur	tur
wairak	vairāk
koypşchanas	kopšanas
waijadsehs	vajadzēs
.	.
Brih	
scham	
	Brīžam
M	ne
buhs	būs
ggidiht	gaidīt
:	:
kamehr	kamēr
Punnis	Punis
Mr	caur
teeķ	tiek
un	un
ne	ne
KM	sev
MsthO	paša
pahrtruM	pārtrūkst
.	.
BrihMam	Brīžam
irr	ir
êas	tas
RèppiK	Repis
jeb	jeb
Abda	Āda
.	
tik	tik
beesa	bieza
un	un
şihksta	sīksta
kà	kā
ta	tā
ne	ne
şoehj	spēj
plihst	plīst
,	,
watta	vaļā
tapt	tapt
un	un
tohs	tos
eekşĢ	
'	
gus	
	iekšķīgus
Pueşchnus	Pūžņus
iswirrinà	izvirināt
Tur	Tur
tee	tie
Ş	aši
PŞm	Pūžņi
Dsiļļumâ	Dziļumā
eet	iet
	to
wappaWaju	apakšējo
	galu
Velēdami	izurbelēdami
.	.
Sche	Še
waijaga	vajag
irr	ir
tohs	tos
apstahwejUfchus	apstāvējušus
PŞ	
şchus	
	Pūžņus
pa	pa
Abru	Āru
istezzlnabt	iztecināt
-	.
Bet	Bet
-	
kahdâ	kādā
wihîê	vīzē
wt	
6	
	tos
istezzinaşi	iztecināsi
weht	vēl
jehli	jēli
un	un
beest	biezi
eşşoşchns	esošus
Gruhti	Grūti
irr	ir
jums	jums
Lautimenr	Ļautiņiem
w	
wWKMŞîIodL	
M	
	to
	viss
	jūsu
	valodā
	iztulkot
	un
apmkstiht	aprakstīt
kà	kā
WsWaMMkâ	
MŅŞtte	
	jūs
	šadā
	lietā
	ne
	samisējaties
^	
	,
ŞtwnW	ņemiet
	tādēļ
	gaumē
^	
	:
Ja	Ja
şşŞPunnê	
	katru
	Puni
ķ	no
pirmajā	pirmajā
ķalla	gala
wdulin	tūdaliņ
warretu	varētu
no	
-	
Uahbinaht	
	noslābināt
kà	kā
ms	tas
	saplok
	,
ulî	un
neds	nedz
wair	vair
wkkst	tūkst
,	,
nedstruhkst	
	nedz
	trūkst
;	;
Ad	tad
tas	tas
tw	tā
wffs	viss
labbaka	labāka
Keta	Lieta
/	
buktu	būtu
bijuM	bijusi
^	
	.
Bet	Bet
klauf	klaus
làbbi	labi
:	:
jaşchu	jašu
tu	tu
pļrmit	pirmīt
guldens	guldens
eşşi	esi
bijis	bijis
,	,
jaşchu	jašu
no	no
tahs	tās
Guļļas	Guļas
wehļ	vēl
kahdi	kādi
Şuhrumi	Sūrumi
Eekfchâs	Iekšās
un	un
Aşşinês	Asinīs
irr	ir
atlizzinatt	atlicināti
;	;
jafchu	jašu
fche	še
atlizzinati	atlicināti
Suhrmni	Sūrumi
;	;
Mur	caur
Augoneem	Augoņiem
us	uz
Ahruzihtahs	Ārucītās
;	;
woj	vai
tahdu	tādu
Augoni	Augoni
bubs	būs
Mt	dzīt
î	?
lat	lai
MS	tas
M6	atsūst
>	
	,
	tas
aeşuttis	atsutis
şirdr	sirdi
aismms	aizņems
5	
	;
tab	tad
buhA	būs
Kaitigw	Bailīga
BuhMŞ	Būšana
.	.
Şche	Še
şirgees	sargies
:	:
Pu	
«	
us	
	Puņus
	atsutināt
We	še
ģeldŞ	ģeldēs
r	
	:
MUstiMjàaiK	mīkstināmais
KhMs	kas
nĢPunMm	
	tos
	ierietējušu
	Pūžņus
	no
	Puņiem
isreetina	izrietina
jeb	jeb
isttWna	iztecina
»	.
Atkaļ	Atkal
zWPunmNĢabrMKs	
	citi
	Puņi
	no
	ārpuses
ne	ne
MWchnaiM	pūžņaini
isķèekàhs	izliekas
,	,
Vuesthm	Pūžņi
irr	ir
eedohbuşchees	iedobušies
un	un
tapelH	tāpēc
no	no
ahrw	āra
mckMniir	
	neredzami
	,
	ir
tahtms	tādus
PuMĢŞbuhs	
	Pūņus
	ne
	būs
ŞtmdĢeplŞincht	
	dzīt
	nedz
	pieplacināt
	.
ķhrms	Ērms
»	
	!
şakki	saki
tu	tu
:	:
kas	kas
to	to
warr	var
isstnnaht	izzināt
:	:
woj	vai
tur	tur
.	
Puķschm	Pūžņi
'	
eekşchâ	iekšā
un	un
apMkM	apakšā
jeb	jeb
ne	ne
!	!
Z	
Es	Es
atbildeşihn	atbildēšu
:	:
wMn	
	to
	gan
warr	var
finnabt	zināt
ķ	
!	!
Pats	Pats
juttişi	jutīsi
:	:
kamehr	kamēr
Punms	Punis
ne	ne
puHchMjs	pūžņojis
,	,
tamehs	tamēr
Tìchknms	Tūkums
fahp	sāp
un	un
pukst	pukst
tamehr	tamēr
kanlļ	kauli
şalst	salst
un	un
tŞşşt	tvīkst
,	,
kà	kā
drudşcha	drudža
Laika	Laikā
,	,
bet	bet
kur	kur
tas	tas
w	
'	
şs	
	viss
atlaiftbabs	atlaižas
;	;
turwarr	
	tur
	var
Mjehgt	nojēgt
:	:
to	to
Pumu	Puni
jaw	jau
puêfchyojam	pūžņojam
,	,
fewifchki	sevišķi
kad	kad
pŞ	pats
Augons	Augons
şpeesch	spiež
M	un
vnm	dur
	.
Un	Un
wehl	vēl
şkmdrakii	skaidrāki
wmr	var
maw	manīt
mhtto	to
Punni	Puni
gamwu	gatavu
eGin	esam
,	,
kad	kad
pats	pats
Punnis	Punis
mlhk	
-	
Knejs	
	mīkstnējs
paleek	paliek
un	un
	atlaižas
	,
jeb	jeb
Widdus	Vidus
pume	punte
M	kā
Puppw	Pupa
Mls	gals
bAhst	blīst
;	;
mr	tur
Şuhdt	sūdi
klalI	klāt
!	!
pchz	pēc
JstezzeşihanM	Iztecēšanas
	.
Dur	Tur
leļle	Jele
it	it
drohMMHkstàjamaM	
	droši
	Mīkstināmu
ķruà	
	var
	uzlikt
,	,
kasto	
	kas
	to
Pun	
--	
M	
	Puni
zauru	cauru
darra	dara
un	un
is	iz
ĶHèna	tecina
.	.
M	Un
tahdu	tādu
SalM	Zalvi
es	es
nu	nu
M	pat
eerchdWn	ierādīšu
»	.
-	
-	
Şnchkstinamjas	Atmīkstinātājas
Saswes	Zalves
un	un
Sahles	Zāles
kas	kas
puWM	
Ms	
	pūžņainus
PuņWs	Puņus
MhrkrŞnŞ	pārtrūcina
jebM	jeb
	caurus
	dara
^	
	.
1	1
)	)
Mmm	Ņem
kŞs	kādas
ŞŞjas	saujas
LilŞlĢ	Linsēklas
şàgrubbi	sagrūd
to	to
par	par
Pnlweru	Pulveri
wahri	vāri
to	to
ar	ar
Mdv	saldu
Peenu	Pienu
par	par
èeeju	biezu
Puttru	Putru
,	,
Kvaidi	svaidi
şcho	šo
Beesumu	Biezumu
us	uz
LàtUL	Lakatu
	,
leezi	liec
to	to
it	it
şiltu	siltu
wirşu	virsū
,	,
weâ	vēl
warr	var
şiļdiuatus	sildītus
Lakkams	Lakatus
pcbWirD	
	pa
	Virsu
likt	likt
,	,
lai	lai
	Aplikums
ne	ne
maf	maz
ne	ne
dfeeff	dziest
/	
	,
ja	ja
dftest	dziest
jauna	jauna
şilta	silta
Puttra	Putra
wirşn	virsū
jaleek	jāliek
>	
	,
un	un
	tā
bes	bez
	Mitēšanās
	,
lai	lai
ne	ne
maf	maz
auksts	auksts
pâek	paliek
.	.
Jo	Jo
kur	kur
Aplkkums	Aplikums
dWhs	dzisīs
,	,
tur	tur
Pueşchm	Pūžņi
PuMos	Puņos
'	
aşşuttà	atsutīs
	.
2	2
)	)
Mmm	Ņem
kuMneļu	kumeļu
Seedus	Ziedus
,	,
un	un
ia	ja
Augons	Augons
ļobti	ļoti
şûhrst	sūrst
/	
.	
	,
kezi	liec
kahdu	kādu
.	
Şauju	sauju
DrļģģŞ	Driģeņu
ķlaht	klāt
,-	
	,
daleis	dalej
faldlŞmr	
